name;region_id;vineyard;year;grape_id;description;food_id;peak_year;preservation_advice;wine_type_id;image
Monbazillac;6;CHÂTEAU LE TERME BLANC ;2009;9;Bouche puissante et riche en arômes sur des notes confits agrumes.;9;2039;8 - 10°C;3;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131535/vinage%20/montbazillac_gnnbxd.png
Savenière;5;CHÂTEAU D’ÉPIRÉ;2016;8;Arômes de fruits et sa minéralité;2;2031;12°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622202103/vinage%20/chateau_epire_ol5dpn.png
Jaune ;7;CHÂTEAU-CHALON;2013;10;Des arômes très fins de fruits secs, d’épices, ainsi que des notes minérales et de la traditionnelle noix.;10;2070;16°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131537/vinage%20/berthet_bondet_chateau_chalon_mujaqg.png
Le Petit Pont;8;DOMAINE PREIGNES LE VIEUX - Le petit pont;2020;11;Une cuvée friande et fraîche : un nez bien présent aux parfums de fruits à chair blanche, qui se poursuit par une bouche fluide, tonique et rafraîchissante.;11;2023;10°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622198384/vinage%20/preignes_le_vieux_ire01i.png
Sauterne ;1;CHÂTEAU CLIMENS;2015;12;Le palais est intensément doux mais joliment équilibré par une acidité fraîche et vivante. ;12;2045;8 - 10°C;4;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131537/vinage%20/chateau_cliens_prp6x5.png
Corse;9;CLOS CANARELLI ;2016;13;Nez de fleur blanche avec des notes citronnées. La bouche est ample, avec des notes minérales. ;6;2020;13°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131538/vinage%20/clos_canarelli_put7ir.png
Cabernet d'Anjou ;5;CHÂTEAU DE FESLES;2020;14;Arômes de petits fruits rouges (fraise, groseille). Equilibré avec une attaque ronde et suave.;13;2020;8 - 10°C;5;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131536/vinage%20/rose_anjou_fesles_fblmlb.png
Costière de Nîmes;10;CHÂTEAU DE LA TUILERIE;2020;15;Gourmand et aromatique aux notes de fraises.;14;2021;8 - 10°C;6;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131538/vinage%20/chateau_tuileries_hzm4pr.png
Corse ;9;TERRA NOSTRA;2016;16;Centré sur les fruits rouges mûrs et quelques notes mentholées. En bouche, du fruit toujours, de la souplesse et de la fraîcheur.;14;2017;8 - 10°C;6;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622197766/vinage%20/terra_nostra_cszbdl.png
Tsarine ;11;TSARINE;0;17;Des senteurs fraîches et florales de tilleul, d’aubépine accompagnées de notes de citron confit. Des arômes d’ananas, d’agrumes confits pour s’achever sur des notes minérales typiques des Chardonnays de la Côte des Blancs. La finale légèrement épicée et saline prolonge le plaisir.;6;0;10 - 12°C;7;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622188791/vinage%20/tsarine_tix6ki.png
Mum;11;MUM - Cordon rouge ;0;4;Une fraîcheur aromatique apparaît d’abord, avec des parfums ronds et gourmands de fruits jaunes et blancs. Des notes de litchi, d’ananas et de praline;14;0;10 - 12°C;7;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131535/vinage%20/mumm_ihjl0z.png
Moet;11;MOËT ET CHANDON - L'impérial;0;18;Des fruits à chair blanche (pomme, poire, pêche blanche), des agrumes (citron), complétés de nuances florales (tilleul), et des notes blondes (brioche et noix fraîches). ;14;0;10 - 12°C;7;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131535/vinage%20/moet_go6xya.png
Ruinart ;11;RUINART - Blanc de Blanc ;0;17;Une grande intensité, sur des notes de fruits frais, en particulier d’agrumes mûrs;15;0;10 - 12°C;7;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131536/vinage%20/ruinart_pqo6uj.png
Saumur;5;BOUVET LADUBAY   - Trésor Blanc;2017;19;Accents d'agrumes et de brioche, avec une bulle délicate, la bouche a du fond et une belle longueur.;6;0;10 - 12°C;7;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131534/vinage%20/ladubay_vsszf7.png
Touraine  ;5;BEAUJARDIN - Fines Bulles Blanc Brut;0;8;Vin pétillant fruité aux bulles fines et légères.;14;0;10 - 12°C;8;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622197941/vinage%20/beau_jardin_y692ef.png
